opgave;opgavenavn
02.00.20;Ejendomsregistrering (BBR)
09.13.00;Skadedyrsbekæmpelse 
17.13.10;Optagelse i skolefritidsordning (SFO)
17.20.01;Skoleindskrivning/optagelse
18.15.12;Udlån, offentlige faciliteter (folkeoplysningsloven)
23.01.00;Vielse/partnerskab 
23.05.05;Navne- og adressebeskyttelse
23.05.10;Flytning
23.05.12;Indrejse/udrejse
23.09.02;Pas
23.09.04;Kørekort
25.10.00;SKAT - person
27.37.04;Administrationsaftaler
27.45.00;Boligtilbud, ældre og personer med handicap 
27.60.00;Hjælpemidler, forbrugsgoder, boligindretning m.v. 
27.60.04;Kropsbårne hjælpemidler
28.09.40;Optagelse i dagtilbud, plads i anden kommune og opsigelse
28.09.44;Tilskud til dagtilbud og forældrenes egenbetaling
29.03.04;Sundhedskort (gult)
29.03.12;Valg af læge og sygesikringsgruppe
29.03.99;EU-sygesikringskort (blåt)
32.03.04;Folkepension
32.03.08;Opsat pension
32.03.10;Varmetillæg
32.03.12;Personligt tillæg og helbredstillæg
32.03.16;Førtidspension
32.06.04;Boligydelse
32.06.08;Boligsikring, ikke førtidspensionister
32.06.12;Boligsikring, førtidspensionister
32.09.00;Børnetilskud 
32.12.00;Børne- og ungeydelse 
32.15.00;Underholdsbidrag (børne/ægtefælle/uddannelse)
32.18.04;Merudgiftsydelse, børn med nedsat funktionsevne
32.18.12;Tabt arbejdsfortjeneste m.v., forsørgelse af børn
32.21.00;Enkeltydelse ( Hjælp i særlige tilfælde)
32.24.04;Hjælp til forsørgelse (kontanthjælp, starthjælp mv.)
32.30.04;Sygedagpenge
32.30.08;Barselsdagpenge
32.42.08;Begravelseshjælp
82.16.00;Udlån/udleje af lokaler og ejendomme 
02.34.02;Byggetilladelse
02.34.04;Anmeldelse om byggearbejde
05.00.00;Veje og trafik 
05.09.02;Betalingsparkering: Parkeringslicenser og betalingsafgifter
05.12.00;Opgravning, ledningsarbejder mv. 
06.01.00;Kloakker og private spildevandsanlæg 
07.17.00;Affald fra virksomheder, offentlige og private institutioner 
07.18.00;Affald fra husholdninger, indsamlingsordninger 
15.17.00;Opfølgning, vurdering og revalidering
15.20.00;Beskæftigelsesindsats
15.21.00;Formidlingsindsats
15.22.00;Kompensation til handicappede i erhverv mv.
15.23.00;Information og vejledning
15.28.00;Seniorjob
23.05.00;Folkeregistrering 
23.07.00;Legitimation+ NEM-ID
25.45.00;Opkrævning 
27.36.20;Tildeling af personlig hjælp og pleje m.v. (visitation)
28.18.00;Private pasningsordninger 
32.06.16;Beboerindskud
32.24.00;Ydelser efter aktivloven i almindelighed
32.27.00;Ydelser efter beskæftigelsesindsatsloven og fleksydelsesloven i almindelighed
32.45.04;Kontrol med sociale ydelser
04.00.00 ;Parker, fritids-/ idrætsanlæg og landskabspleje i almindelighed
04.01.11 ;Pleje af parker og anlæg
